00001	00100		
00002	00100
00003	00100
00004	00100
00008	00100
00001	00200
00003	00200
00004	00200
00006	00200
00007	00200
00001	00300
00002	00300
00003	00300
00005	00300
00008	00300
00001	00400
00003	00400
00005	00400
00007	00400	
00008	00400
00002	00500
00004	00500
00005	00500
00006	00500
00008	00500
00004	00900
00005	00900
00006	00900
00007	00900
00008	00900
00001	00140
00002	00140
00004	00140
00006	00140
00008	00140
00003	00180
00004	00180
00005	00180
00006	00180
00007	00180
00009	00100
00010	00100
00011	00100
00012	00100
00014	00100
00009	00500
00011	00500
00012	00500
00014	00500
00015	00500
00009	00600
00010	00600
00012	00600
00013	00600
00016	00600
00009	00700
00012	00700
00013	00700
00015	00700
00016	00700
00010	00800
00011	00800
00013	00800
00014	00800
00016	00800
00011	00110
00013	00110
00014	00110
00015	00110
00016	00110
00009	00150
00010	00150
00011	00150
00014	00150
00016	00150
00011	00190
00012	00190
00013	00190
00014	00190
00015	00190
00017	00200
00018	00200
00019	00200
00020	00200
00022	00200
00018	00600
00019	00600
00020	00600
00021	00600
00022	00600
00017	00900
00018	00900
00019	00900
00023	00900
00024	00900
00018	00110
00019	00110
00020	00110
00021	00110
00024	00110
00017	00120
00020	00120
00022	00120
00023	00120
00024	00120
00020	00130
00021	00130
00022	00130
00023	00130
00024	00130
00017	00160
00018	00160
00020	00160
00022	00160
00023	00160
00019	00210   
00021	00210
00022	00210
00023	00210
00024	00210
00025	00300
00026	00300
00027	00300
00028	00300
00030	00300
00025	00700
00026	00700
00027	00700
00029	00700
00030	00700
00025	00120
00026	00120
00028	00120
00031	00120
00032	00120
00025	00140
00026	00140
00029	00140
00031	00140
00032	00140
00027	00150
00028	00150
00030	00150
00031	00150
00032	00150
00027	00160
00029	00160
00030	00160
00031	00160
00032	00160
00025	00170
00027	00170
00028	00170
00030	00170
00032	00170
00026	00220
00027	00220
00029	00220
00030	00220
00031	00220
00033	00400
00034	00400
00035	00400
00036	00400
00038	00400
00033	00800
00034	00800
00035	00800
00038	00800
00039	00800
00033	00130
00034	00130
00036	00130
00037	00130
00040	00130
00033	00170
00034	00170
00037	00170   
00039	00170
00040	00170
00035	00180
00036	00180
00037	00180
00038	00180
00040	00180
00035	00190
00037	00190
00038	00190
00039	00190
00040	00190
00034	00210
00035	00210
00036	00210
00037	00210
00038	00210
00033	00220
00035	00220
00038	00220
00039	00220
00040	00220
